USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
MA	2501767665	00618235	Stoneham town	A	15581157	1633328	6.016	0.631	42.474208	-71.097665                                                                                                                
MA	2501768050	00618236	Stow town	A	44865893	1744542	17.323	0.674	42.429688	-71.512514                                                                                                                   
MA	2501768260	00618237	Sudbury town	A	62861131	1234752	24.271	0.477	42.383367	-71.42107                                                                                                                 
MA	2501769415	00618238	Tewksbury town	A	53674575	1094606	20.724	0.423	42.612088	-71.227845                                                                                                              
MA	2501770360	00618239	Townsend town	A	84710101	666205	32.707	0.257	42.665002	-71.711937                                                                                                                
MA	2501771025	00618240	Tyngsborough town	A	43506478	3391782	16.798	1.31	42.667762	-71.42882                                                                                                             
MA	2501772215	00619410	Wakefield town	A	19149097	1560573	7.394	0.603	42.504361	-71.064061                                                                                                               
MA	2501772600	00618241	Waltham city	F	33008227	2634711	12.745	1.017	42.388921	-71.242268                                                                                                                
MA	2501773440	00618242	Watertown Town city	F	10350067	331823	3.996	0.128	42.369451	-71.177925                                                                                                           
MA	2501773790	00618243	Wayland town	A	38965596	2100402	15.045	0.811	42.360427	-71.361099                                                                                                                
MA	2501776135	00618244	Westford town	A	78332298	2895769	30.244	1.118	42.585541	-71.44025                                                                                                                
MA	2501777255	00618245	Weston town	A	43564010	1326827	16.82	0.512	42.360502	-71.303433                                                                                                                  
MA	2501780230	00618246	Wilmington town	A	43960934	439325	16.973	0.17	42.564647	-71.164516                                                                                                               
MA	2501780510	00618247	Winchester town	A	15623829	817439	6.032	0.316	42.452752	-71.144319                                                                                                               
MA	2501781035	00619411	Woburn city	F	32762645	761146	12.65	0.294	42.488703	-71.154383                                                                                                                   
MA	2501900000	00000000	County subdivisions not defined	F	0	513825067	0.	198.389	41.305878	-70.14191                                                                                                     
MA	2501943790	00619376	Nantucket town	A	119637316	153001318	46.192	59.074	41.293392	-70.102164                                                                                                          
MA	2502102935	00618314	Avon town	A	11114827	639905	4.291	0.247	42.132461	-71.054013                                                                                                                     
MA	2502104930	00618315	Bellingham town	A	47507316	1422520	18.343	0.549	42.076682	-71.47449                                                                                                              
MA	2502107740	00618316	Braintree Town city	F	35644316	2076505	13.762	0.802	42.206188	-71.00232                                                                                                          
MA	2502109175	00619456	Brookline town	A	17508152	183413	6.76	0.071	42.323853	-71.142003                                                                                                                 
MA	2502111315	00619457	Canton town	A	48552283	2058152	18.746	0.795	42.175737	-71.125385                                                                                                                 
MA	2502114640	00618317	Cohasset town	A	25338291	56061039	9.783	21.645	42.262428	-70.798883                                                                                                              
MA	2502116495	00618318	Dedham town	A	26600181	1072471	10.27	0.414	42.246872	-71.179462                                                                                                                  
MA	2502117405	00618319	Dover town	A	39098446	837909	15.096	0.324	42.23416	-71.291167                                                                                                                    
MA	2502124820	00618320	Foxborough town	A	51426194	2574941	19.856	0.994	42.061338	-71.245802                                                                                                             
MA	2502125172	00618321	Franklin Town city	F	68994894	1009207	26.639	0.39	42.084858	-71.410571                                                                                                           
