municipality,year,payt,svc_type,hh_total,hh_trash,hh_recycling,trash_tons,recyc_tons,bulky_incl,lbs_hh_yr,coverage
Plainville,2023,1,Curbside,4067.0,2589.0,2589.0,1400.0,726.18,0,1081.49864812669,0.6365871649864765
Plympton,2023,1,Drop-off,1200.0,750.0,750.0,639.88,51.59,0,1706.3466666666666,0.625
Provincetown,2023,0,Both,2980.0,2980.0,2980.0,2838.0,1023.0,0,1904.6979865771812,1.0
Quincy,2023,0,Curbside,49516.0,34700.0,34700.0,28755.0,4859.0,0,1657.3487031700288,0.7007835851038048
Randolph,2023,0,Curbside,12294.0,9567.0,9567.0,10706.0,2185.0,1,2238.110170377339,0.7781844802342606
Raynham,2023,1,Drop-off,4629.0,1459.0,1459.0,708.22,,1,970.8293351610693,0.3151868654136963
Reading,2023,0,Curbside,9560.0,8878.0,8878.0,6664.74,2469.39,1,1501.4057220094617,0.9286610878661088
Revere,2023,0,Curbside,25000.0,22000.0,21000.0,17523.0,3450.98,0,1593.0,0.88
Richmond,2023,0,Curbside,818.0,818.0,818.0,1008.0,125.3,0,2464.547677261614,1.0
Rochester,2023,0,Both,2059.0,2059.0,2059.0,1563.28,378.2,0,1518.4847013113163,1.0
Rockland,2023,0,Curbside,5468.0,5078.0,5078.0,4415.47,1151.0,0,1739.0586845214652,0.9286759326993417
Rockport,2023,1,Drop-off,4959.0,3148.0,3148.0,1978.22,0.0,1,1256.8106734434562,0.6348054043153861
Rowe,2023,1,Drop-off,215.0,190.0,190.0,89.65,,0,943.6842105263158,0.8837209302325582
Royalston,2023,1,Drop-off,576.0,275.0,275.0,155.1,,0,1128.0,0.4774305555555556
Russell,2023,1,Drop-off,565.0,435.0,435.0,241.83,,0,1111.8620689655172,0.7699115044247787
Salem,2023,0,Curbside,19887.0,17050.0,17050.0,11204.03,3593.42,1,1314.2557184750733,0.8573439935636346
Sandisfield,2023,0,Drop-off,595.0,450.0,450.0,219.38,,0,975.0222222222222,0.7563025210084033
Sandwich,2023,1,Drop-off,8500.0,5000.0,5000.0,2369.0,,0,947.6,0.5882352941176471
Saugus,2023,0,Curbside,10672.0,8768.0,8773.0,8679.11,2154.25,1,1979.723996350365,0.8215892053973014
Savoy,2023,1,Drop-off,300.0,198.0,198.0,105.86,,0,1069.2929292929293,0.66
Scituate,2023,1,Drop-off,8040.0,5300.0,5300.0,3100.0,,0,1169.811320754717,0.6592039800995025
Seekonk,2023,1,Curbside,5332.0,5236.0,5236.0,3054.9,2311.0,0,1166.8831168831168,0.9819954988747187
Sharon,2023,0,Curbside,6714.0,5491.0,5491.0,4358.47,2020.49,0,1587.495902385722,0.8178433124813822
Sheffield,2023,0,Drop-off,1730.0,905.0,916.0,493.52,,0,1090.6519337016575,0.523121387283237
Shelburne,2023,1,Drop-off,785.0,600.0,600.0,221.32,,0,737.7333333333333,0.7643312101910829
Sherborn,2023,0,Drop-off,1495.0,1495.0,1495.0,1450.75,,1,1940.8026755852843,1.0
Shirley,2023,0,Curbside,2466.0,1722.0,1722.0,1330.66,413.93,0,1545.4819976771196,0.6982968369829684
Shrewsbury,2023,1,Curbside,13153.0,10165.0,10165.0,5861.19,0.0,1,1153.210034431874,0.7728274918269596
Shutesbury,2023,1,Curbside,881.0,881.0,881.0,319.98,,0,726.4018161180477,1.0
Somerset,2023,1,Both,7394.0,6900.0,6900.0,3549.85,2147.78,1,1028.9420289855072,0.9331890722207195
Somerville,2023,0,Curbside,28000.0,26250.0,26250.0,16661.72,6318.85,0,1269.4643809523811,0.9375
South Hadley,2023,1,Both,6549.0,6549.0,6549.0,3036.86,,1,927.4270881050542,1.0
Southampton,2023,1,Drop-off,2322.0,982.0,982.0,503.64,0.0,0,1025.7433808553972,0.42291128337639966
Southborough,2023,0,Drop-off,3672.0,2378.0,2378.0,2348.0,,1,1974.7687132043734,0.6476034858387799
Southbridge,2023,0,Curbside,8836.0,6421.0,6421.0,4666.0,1205.0,0,1453.356175050615,0.7266862833861476
Southwick,2023,0,Drop-off,3605.0,2114.0,2145.0,2008.0,,1,1899.7161778618731,0.5864077669902913
Spencer,2023,1,Drop-off,3840.0,1642.0,1642.0,1239.95,296.54,0,1510.2923264311814,0.4276041666666667
Springfield,2023,0,Curbside,61000.0,40000.0,40000.0,44236.83,7356.76,0,2211.8415,0.6557377049180327
Sterling,2023,0,Curbside,3000.0,2893.0,2893.0,2185.78,907.85,0,1511.081921880401,0.9643333333333334
Stockbridge,2023,0,Drop-off,2000.0,1533.0,1533.0,484.48,,0,632.0678408349642,0.7665
Stoneham,2023,0,Curbside,11493.0,5900.0,5900.0,5880.2,1872.7,1,1993.2881355932204,0.5133559557991821
Stoughton,2023,0,Curbside,8874.0,7211.0,7211.0,8619.08,201.49,0,2390.536680072112,0.8125986026594546
Sturbridge,2023,1,Drop-off,4109.0,1952.0,1952.0,260.0,0.0,0,266.39344262295083,0.47505475784862494
Sutton,2023,1,Drop-off,3606.0,1180.0,1180.0,427.0,,1,723.728813559322,0.32723239046034386
Swampscott,2023,1,Curbside,6260.0,5070.0,5070.0,3317.78,1609.5,1,1308.7889546351084,0.8099041533546326
Swansea,2023,1,Curbside,6520.0,6158.0,6158.0,3305.56,1884.3,0,1073.58233192595,0.944478527607362
Taunton,2023,1,Curbside,20846.0,18423.0,20723.0,12746.87,5000.28,1,1383.7995983281767,0.8837666698647223
Tewksbury,2023,0,Curbside,10126.0,10126.0,10126.0,11178.35,2803.32,1,2207.8510764368953,1.0
Tolland,2023,0,Drop-off,514.0,330.0,330.0,107.59,0.0,0,652.060606060606,0.642023346303502
Topsfield,2023,1,Curbside,2220.0,2220.0,2220.0,1778.44,,1,1602.1981981981983,1.0
